Timestamp,Type,X,Y,Z
2025-11-12 13:18:58.749,G,0.12207,-0.732422,0
2025-11-12 13:18:58.850,A,-0.0263672,0.000488281,1.00146
2025-11-12 13:18:58.850,G,0.488281,-1.09863,0
2025-11-12 13:18:58.950,A,-0.0219727,-0.00146484,1.00244
2025-11-12 13:18:58.950,G,0.854492,-0.732422,-0.793457
2025-11-12 13:18:59.050,A,-0.0273438,0.0498047,0.999512
2025-11-12 13:18:59.050,G,-0.488281,-2.74658,-6.71387
2025-11-12 13:18:59.150,A,-0.0322266,0.0219727,0.999512
2025-11-12 13:18:59.150,G,0,-2.31934,-6.16455
2025-11-12 13:18:59.250,A,-0.0175781,0,1.00342
2025-11-12 13:18:59.250,G,1.2207,0.305176,0
2025-11-12 13:18:59.351,A,-0.0161133,-0.000976562,1.00098
2025-11-12 13:18:59.351,G,0,-0.12207,-0.0610352
2025-11-12 13:18:59.451,A,-0.0180664,-0.000976562,1.00098
2025-11-12 13:18:59.451,G,0.12207,0.671387,-0.0610352
2025-11-12 13:18:59.551,A,-0.0209961,0,1.00244
2025-11-12 13:18:59.551,G,0.0610352,0.0610352,-0.0610352
2025-11-12 13:18:59.651,A,-0.019043,0.000976562,0.999512
2025-11-12 13:18:59.651,G,-0.183105,0.549316,-0.12207
2025-11-12 13:18:59.751,A,-0.0244141,-0.00195312,1.00195
2025-11-12 13:18:59.751,G,-1.64795,1.64795,0
2025-11-12 13:18:59.852,A,-0.0244141,-0.000488281,1.00049
2025-11-12 13:18:59.852,G,-0.732422,0.0610352,0
2025-11-12 13:18:59.952,A,-0.0253906,-0.000976562,1.00049
2025-11-12 13:18:59.952,G,-0.549316,0,0
2025-11-12 13:19:00.052,A,-0.0268555,-0.00244141,0.999512
2025-11-12 13:19:00.052,G,-0.488281,-0.12207,0
2025-11-12 13:19:00.152,A,-0.0268555,-0.00195312,1
2025-11-12 13:19:00.152,G,-0.488281,-0.183105,0
2025-11-12 13:19:00.252,A,-0.0263672,-0.00195312,1
2025-11-12 13:19:00.252,G,-0.488281,-0.0610352,0
2025-11-12 13:19:00.352,A,-0.0268555,-0.00195312,1.00049
