0.200     6     1     1     1     0     0
0.200     6     0     1     0     0     0
0.200     6     0     1     0     0     0
0.200     7     0     1     0     1     0
0.200     6     0     1     0     0     0
0.200     6     0     1     0     0     0
0.200     6     1     1     1     0     0
0.200     6     0     1     0     0     0
0.200     6     0     1     0     1     0
0.200     6     0     1     0     1     0
0.300     0     4     0     1     0     0
0.100     0     4     0     1     0     0
0.200     0     4     0     1     0     0
0.200     3     0     1     0     0     0
0.100     3     0     1     0     0     0
0.100     2     0     1     0     0     0
0.100     2     0     1     0     0     0
0.100     0     8     0     1     1     0
0.200     6     0     1     0     0     0
0.200     6     0     1     0     0     0
0.200     6     1     1     1     0     0
0.200     6     0     1     0     0     0
0.200     6     0     1     0     1     0
0.200     6     0     1     0     1     0
0.200     6     0     1     0     0     0
0.200     6     0     1     0     0     0
0.200     6     1     1     1     0     0
0.200     6     0     1     0     0     0
0.200     6     0     1     0     0     0
0.200     6     0     1     0     1     0
0.200     6     0     1     0     0     0
0.200     6     0     1     0     0     0
0.200     6     1     1     1     0     0
0.200     6     0     1     0     0     0
0.200     6     0     1     0     1     0
0.200     6     0     1     0     1     0
0.200     6     0     1     0     0     0
0.200     6     0     1     0     0     0
0.200     0     1     0     1     0     0
0.200     0     4     0     1     0     0
0.200     0     0     0     0     0     0
0.200     7     0     1     0     1     0
0.200     6     0     1     0     0     0
0.200     6     0     1     0     0     0
0.200     6     1     1     1     0     0
0.200     6     0     1     0     0     0
0.200     6     0     1     0     1     0
0.200     6     0     1     0     1     0
0.200     6     0     1     0     0     0
0.200     6     0     1     0     0     0
0.200     6     1     1     1     0     0
0.200     6     0     1     0     0     0
0.200     6     0     1     0     0     0
0.200     7     0     1     0     1     0
0.200     6     0     1     0     0     0
0.200     6     0     1     0     0     0
0.200     8     1     1     1     0     0
0.200     6     0     1     0     0     0
0.200     6     0     1     0     1     0
0.200     7     8     1     1     1     0
0.300     0     4     0     1     0     0
0.100     0     4     0     1     0     0
0.200     0     4     0     1     0     0
0.100     0     4     0     1     0     0
0.100     3     0     1     0     0     0
0.100     3     0     1     0     0     0
